2025-12-19 19:10:28.284 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-19 19:10:28.362 [main] INFO  c.e.l.LoggingAndObservabilityApplication - Starting LoggingAndObservabilityApplication using Java 21.0.8 with PID 4232 (C:\Users\Jihen\Desktop\Logging and Observability\target\classes started by Jihen in C:\Users\Jihen\Desktop\Logging and Observability)
2025-12-19 19:10:28.363 [main] INFO  c.e.l.LoggingAndObservabilityApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-19 19:10:29.402 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-12-19 19:10:29.538 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 121 ms. Found 2 MongoDB repository interfaces.
2025-12-19 19:10:30.753 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-19 19:10:30.764 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-19 19:10:30.768 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-19 19:10:30.769 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2025-12-19 19:10:30.867 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-19 19:10:30.867 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2386 ms
2025-12-19 19:10:30.967 [main] INFO  c.e.l.l.extractor.ProfileExtractor - ProfileExtractor initialized. Output directory: extracted-profiles
2025-12-19 19:10:31.254 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.8+12-LTS-250"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@691124ee, com.mongodb.Jep395RecordCodecProvider@38d80d65, com.mongodb.KotlinCodecProvider@5403799b]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2025-12-19 19:10:31.277 [cluster-ClusterId{value='69459517fe8f2e700fe6b91d', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=46079500}
2025-12-19 19:10:31.878 [main] INFO  c.e.l.p.service.UserProfileService - UserProfileService initialized. Profiles directory: user-profiles
2025-12-19 19:10:31.948 [main] INFO  c.e.l.l.service.StructuredLogger - StructuredLogger initialized. Logs directory: structured-logs
2025-12-19 19:10:32.995 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-19 19:10:33.060 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-19 19:10:33.077 [main] INFO  c.e.l.LoggingAndObservabilityApplication - Started LoggingAndObservabilityApplication in 5.694 seconds (process running for 7.002)
2025-12-19 19:10:33.082 [main] INFO  c.e.l.cli.ScenarioRunner - 

2025-12-19 19:10:33.082 [main] INFO  c.e.l.cli.ScenarioRunner - ╔════════════════════════════════════════════════════════╗
2025-12-19 19:10:33.083 [main] INFO  c.e.l.cli.ScenarioRunner - ║   🎬 STARTING AUTOMATED SCENARIO EXECUTION             ║
2025-12-19 19:10:33.083 [main] INFO  c.e.l.cli.ScenarioRunner - ║   Creating 10 users with diverse operation patterns   ║
2025-12-19 19:10:33.083 [main] INFO  c.e.l.cli.ScenarioRunner - ╚════════════════════════════════════════════════════════╝
2025-12-19 19:10:33.083 [main] INFO  c.e.l.cli.ScenarioRunner - 

2025-12-19 19:10:33.084 [main] INFO  c.e.l.scenario.ScenarioExecutor - ╔════════════════════════════════════════════════════════╗
2025-12-19 19:10:33.084 [main] INFO  c.e.l.scenario.ScenarioExecutor - ║       SCENARIO EXECUTION - QUESTION 4                  ║
2025-12-19 19:10:33.084 [main] INFO  c.e.l.scenario.ScenarioExecutor - ║  Generating 10 users with diverse operation patterns  ║
2025-12-19 19:10:33.084 [main] INFO  c.e.l.scenario.ScenarioExecutor - ╚════════════════════════════════════════════════════════╝
2025-12-19 19:10:33.085 [main] INFO  c.e.l.scenario.ScenarioExecutor - 
📦 Setting up test products...
2025-12-19 19:10:33.086 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: USB Cable | Price: €9.99 | Action: WRITE
2025-12-19 19:10:33.317 [main] INFO  c.e.l.service.ProductService - Product added | ID: 1 | Name: USB Cable | Price: €9.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.317 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Mouse Pad | Price: €14.99 | Action: WRITE
2025-12-19 19:10:33.323 [main] INFO  c.e.l.service.ProductService - Product added | ID: 2 | Name: Mouse Pad | Price: €14.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.324 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: HDMI Cable | Price: €19.99 | Action: WRITE
2025-12-19 19:10:33.330 [main] INFO  c.e.l.service.ProductService - Product added | ID: 3 | Name: HDMI Cable | Price: €19.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
